raceId,year,yflag_start,yflag_end,yellow_laps,Intrerruption,lap_interrapt
934,2015,1,3,3,no,
934,2015,34,35,2,no,
933,2015,1,6,6,no,
931,2015,64,70,7,no,
928,2015,54,56,3,no,
927,2015,4,6,3,no,
926,2015,1,3,3,no,
916,2014,1,4,4,no,
914,2014,1,9,9,yes,2
914,2014,44,44,1,no,
913,2014,31,37,7,no,
910,2014,8,13,6,no,
910,2014,23,26,4,no,
909,2014,1,2,2,no,
908,2014,1,2,2,yes,1
906,2014,1,7,7,no,
906,2014,70,70,1,no,
905,2014,1,3,3,no,
905,2014,26,30,5,no,
902,2014,41,46,6,no,
900,2014,12,15,4,no,
898,2013,1,4,4,no,
894,2013,31,36,6,no,
894,2013,38,40,3,no,
893,2013,25,30,6,no,
888,2013,24,29,6,no,
887,2013,16,21,6,no,
887,2013,42,45,4,no,
885,2013,31,38,8,no,
885,2013,46,47,2,yes,45
879,2012,23,29,7,no,
877,2012,9,14,6,no,
877,2012,39,42,4,no,
874,2012,1,2,2,no,
873,2012,33,38,6,no,
873,2012,40,42,3,no,
871,2012,1,4,4,no,
867,2012,29,33,5,no,
865,2012,2,3,2,no,
861,2012,6,13,8,yes,9
860,2012,36,41,6,no,
856,2011,17,20,4,no,
855,2011,24,27,4,no,
854,2011,30,33,4,no,
853,2011,1,3,3,no,
852,2011,13,16,4,no,
847,2011,1,4,4,no,
847,2011,8,12,5,no,
847,2011,20,34,15,yes,24
847,2011,37,40,4,no,
847,2011,57,60,4,no,
846,2011,34,38,5,no,
846,2011,69,73,5,yes,71
